Date,Name,Open,High,Low,Close,Volume
11-01-2022,02.Cement,104.17,107.66,103.17,104.91,871453.57
12-01-2022,02.Cement,105.2,106.51,103.5,104.37,597768.14
13-01-2022,02.Cement,103.87,105.9,103.3,104.51,328102.29
16-01-2022,02.Cement,105.47,106.71,104.33,105.37,389641.29
17-01-2022,02.Cement,105.14,106.27,104.4,105.26,429906.71
18-01-2022,02.Cement,106.19,107.16,104.46,105.79,454401.29
19-01-2022,02.Cement,106.14,106.91,104.56,105.19,404250.14
20-01-2022,02.Cement,106.11,106.83,104,105.1,459590.71
23-01-2022,02.Cement,105.97,106.13,103.14,104.17,386982
24-01-2022,02.Cement,104.2,108.29,102.71,104.86,287515.14
25-01-2022,02.Cement,107.5,110.24,105.8,108.74,249593.29
26-01-2022,02.Cement,109.44,112,106.33,107.67,169929.86
27-01-2022,02.Cement,107.79,108.41,103.04,104.79,259337.43
30-01-2022,02.Cement,105.83,106.49,103.91,104.61,437792.29
31-01-2022,02.Cement,104.4,105.67,102.16,103.11,351230.43
02-01-2022,03.Ceramics_Sector,72.8,73.58,72.14,72.8,334644.4
03-01-2022,03.Ceramics_Sector,72.52,74.32,72.18,72.92,425101.6
04-01-2022,03.Ceramics_Sector,72.58,73.54,72.02,72.98,283996.6
05-01-2022,03.Ceramics_Sector,73.74,74.3,72.62,73.48,746338
06-01-2022,03.Ceramics_Sector,73.62,74.64,72.96,73.54,530219.6
09-01-2022,03.Ceramics_Sector,73.76,75.7,73.24,73.76,774650.8
10-01-2022,03.Ceramics_Sector,74.68,75.16,73.1,73.86,405646.6
11-01-2022,03.Ceramics_Sector,73.94,77.08,73.48,75.72,1600785
12-01-2022,03.Ceramics_Sector,76.46,79.04,75.3,77.32,3148906.6
13-01-2022,03.Ceramics_Sector,77.56,79.48,76.08,77.3,1694063
16-01-2022,03.Ceramics_Sector,78.06,81.36,76.96,79.48,3351889
17-01-2022,03.Ceramics_Sector,80.48,81.16,76.94,77.36,2128595.4
18-01-2022,03.Ceramics_Sector,77.72,78.62,76.08,76.54,2303999.2
19-01-2022,03.Ceramics_Sector,77.64,79.36,76.36,77.5,1424677.6
20-01-2022,03.Ceramics_Sector,78.02,78.82,76.22,76.68,1548763
23-01-2022,03.Ceramics_Sector,76.82,78.22,74.74,76.52,2100762
24-01-2022,03.Ceramics_Sector,76.72,77.14,74.52,75.24,1171125.6
25-01-2022,03.Ceramics_Sector,75.9,76.52,74.64,75.06,1052030
26-01-2022,03.Ceramics_Sector,76.08,76.66,74.82,75.36,1249555.2
27-01-2022,03.Ceramics_Sector,75.88,76.7,75.16,75.76,1631108
30-01-2022,03.Ceramics_Sector,76.14,76.8,74.64,75.26,1408752.4
31-01-2022,03.Ceramics_Sector,75.36,75.58,73.2,73.54,924113.2
02-01-2022,04.Engineering,133.76,135.6,131.05,132.85,288791.57
03-01-2022,04.Engineering,132.78,135.21,130.59,131.68,551456.48
04-01-2022,04.Engineering,132.37,133.71,129.88,131.18,396117.62
05-01-2022,04.Engineering,132.69,134.61,130.15,131.59,805029.5
06-01-2022,04.Engineering,132.68,134.1,129.77,130.99,780290.6
09-01-2022,04.Engineering,132.43,134.46,129.74,131.48,767788.79
10-01-2022,04.Engineering,132.77,135.64,130.41,133.42,1037017.69
11-01-2022,04.Engineering,134.25,138.41,132.57,135.98,1193785.31
12-01-2022,04.Engineering,137.58,140.03,132.18,135.16,771577.43
13-01-2022,04.Engineering,137.39,140.31,133.56,137.01,566542.02
16-01-2022,04.Engineering,137.75,142.21,136.32,139.45,640051.45
17-01-2022,04.Engineering,140.4,142.97,136.93,140.35,672865.29
18-01-2022,04.Engineering,140.09,143.8,138.04,140.5,935615.55
19-01-2022,04.Engineering,141.83,143.7,137.97,139.11,951541.76
20-01-2022,04.Engineering,140.12,141.39,135.86,137.07,1184879.48
23-01-2022,04.Engineering,136.85,139.09,134.22,135.94,866947.48
24-01-2022,04.Engineering,136.64,138.1,133.27,134.56,653725.98
25-01-2022,04.Engineering,136.18,137.67,133.85,135.16,525301.02
26-01-2022,04.Engineering,135.84,137.28,133.04,134.48,638903.95
27-01-2022,04.Engineering,134.75,136.46,132.95,134.48,676885.02
30-01-2022,04.Engineering,134.28,135.71,131.33,132.51,857212
31-01-2022,04.Engineering,133.02,135,130.81,132.18,930034.24
02-01-2022,05.Financial_Institutions,32.03,32.56,31.51,32.14,890622.68
03-01-2022,05.Financial_Institutions,32.36,32.61,31.69,31.97,705269.91
04-01-2022,05.Financial_Institutions,32,32.4,31.64,31.98,768184.41
05-01-2022,05.Financial_Institutions,32.21,33.51,32.06,32.94,1234918.5
06-01-2022,05.Financial_Institutions,33.47,33.76,32.69,33.1,943692
09-01-2022,05.Financial_Institutions,33.36,33.65,32.42,32.72,922664.86
10-01-2022,05.Financial_Institutions,32.96,33.65,32.36,32.97,890936.45
11-01-2022,05.Financial_Institutions,33.3,34.26,32.84,33.27,1818756.68
12-01-2022,05.Financial_Institutions,33.49,33.7,32.35,32.66,1053486.86
13-01-2022,05.Financial_Institutions,32.89,33.27,32.16,32.42,690812.14
16-01-2022,05.Financial_Institutions,32.57,33.19,32.14,32.4,812252.95
17-01-2022,05.Financial_Institutions,32.72,33,32.19,32.56,744277.55
18-01-2022,05.Financial_Institutions,33,33.33,32.28,32.52,1326162.14
19-01-2022,05.Financial_Institutions,32.89,33.05,32.18,32.37,706667.32
20-01-2022,05.Financial_Institutions,32.49,32.83,32.07,32.29,730060.91
23-01-2022,05.Financial_Institutions,32.35,32.6,31.79,32.08,506097.59
24-01-2022,05.Financial_Institutions,32.25,32.48,31.36,31.58,522788.59
25-01-2022,05.Financial_Institutions,31.77,32.33,31.46,31.94,372140.41
26-01-2022,05.Financial_Institutions,32.12,32.98,31.73,32.54,706045.95
27-01-2022,05.Financial_Institutions,32.69,33.37,32.19,32.75,531799.82
30-01-2022,05.Financial_Institutions,32.78,32.98,31.75,32.09,528853.91
31-01-2022,05.Financial_Institutions,32.02,32.35,31.59,31.8,419071.95
02-01-2022,06.Food_&_Allied,303.67,311.01,301.14,305.16,187281.15
03-01-2022,06.Food_&_Allied,309.8,312.41,300.36,303.13,432190.1
04-01-2022,06.Food_&_Allied,305.78,307.39,299.97,303.66,554873.95
05-01-2022,06.Food_&_Allied,305.4,308.92,301.87,303.43,617348.9
06-01-2022,06.Food_&_Allied,303.89,306.6,297.66,299.72,597532.5
09-01-2022,06.Food_&_Allied,302.17,308.98,299.18,305.06,474296.9
10-01-2022,06.Food_&_Allied,307.8,311.79,304.07,307.34,456934.65
11-01-2022,06.Food_&_Allied,307.84,312.31,300.64,305.52,634854.8
12-01-2022,06.Food_&_Allied,305.08,311.44,301.42,306.97,636725.35
13-01-2022,06.Food_&_Allied,307.14,314.66,305.63,312.18,537420.6
16-01-2022,06.Food_&_Allied,317.14,328.45,311.6,319.07,830920.6
17-01-2022,06.Food_&_Allied,323.98,326.86,315.38,317.3,1222831.55
18-01-2022,06.Food_&_Allied,320.63,325.45,315.81,320.78,848939.65
19-01-2022,06.Food_&_Allied,321.65,328.6,318.43,322.33,960059.8
20-01-2022,06.Food_&_Allied,323.82,329.4,319.71,325.67,820491.7
23-01-2022,06.Food_&_Allied,329.16,335.07,321.85,330.78,813673.2
24-01-2022,06.Food_&_Allied,316.41,326.92,311.83,323.05,978520.57
25-01-2022,06.Food_&_Allied,326.85,332.11,320.74,324.63,572635.14
26-01-2022,06.Food_&_Allied,325.23,328.19,318.09,319.38,501003.19
27-01-2022,06.Food_&_Allied,322.04,328.62,313.98,324.5,875049.33
30-01-2022,06.Food_&_Allied,324.08,330.24,318.22,324.16,562611
31-01-2022,06.Food_&_Allied,324.7,331.46,319.91,323.01,460641.9
02-01-2022,07.Fuel_&_Power,276.83,282.98,272.4,281.53,309995.43
03-01-2022,07.Fuel_&_Power,288.83,290.2,276.94,279.45,651709.7
04-01-2022,07.Fuel_&_Power,280.2,286.35,275.54,281.89,384960
05-01-2022,07.Fuel_&_Power,284.66,286.31,276.51,278.01,717755
06-01-2022,07.Fuel_&_Power,278.19,282.49,271.63,274.3,1110891.87
09-01-2022,07.Fuel_&_Power,275.4,282.54,272.46,274.75,754478.65
10-01-2022,07.Fuel_&_Power,277.83,285.18,274.93,282.72,1484112.04
11-01-2022,07.Fuel_&_Power,286.33,291.88,281.19,284.49,2267592.22
12-01-2022,07.Fuel_&_Power,285.36,291.87,278.48,283.12,1375899.43
13-01-2022,07.Fuel_&_Power,284.6,291.6,282.34,286.91,1001409.74
16-01-2022,07.Fuel_&_Power,290.18,298.63,288.39,295.11,926818.74
17-01-2022,07.Fuel_&_Power,298.09,301.07,293.34,295.49,966632.13
18-01-2022,07.Fuel_&_Power,163.12,165.63,160.78,163.43,884362.91
19-01-2022,07.Fuel_&_Power,279.03,281.42,275.41,279.67,582704.61
20-01-2022,07.Fuel_&_Power,284,289.85,275.37,280.01,783798.68
23-01-2022,07.Fuel_&_Power,283.5,286.48,274.75,278.46,773457.86
24-01-2022,07.Fuel_&_Power,274.56,280.35,267.83,270.55,500488.43
25-01-2022,07.Fuel_&_Power,277.34,279.82,268.8,270.61,454446.09
26-01-2022,07.Fuel_&_Power,269.57,270.33,262.94,264.63,411112.57
27-01-2022,07.Fuel_&_Power,265.67,269.7,262.29,266.04,509856.7
30-01-2022,07.Fuel_&_Power,263.27,265.79,258.57,261.53,566428.87
31-01-2022,07.Fuel_&_Power,256.77,261.53,253.81,255.63,436531.09
02-01-2022,08.Insurance,72.69,73.77,71.19,72.31,249460.6
03-01-2022,08.Insurance,73,74.34,71.43,72.39,368183.52
04-01-2022,08.Insurance,73.24,75.34,72.09,73.88,501737.58
05-01-2022,08.Insurance,74.61,75.57,72.34,73.22,420419.77
06-01-2022,08.Insurance,73.99,75.04,71.75,72.64,523258.98
09-01-2022,08.Insurance,73.26,74.63,71.06,71.98,420942.5
10-01-2022,08.Insurance,72.73,74.2,71.08,72.18,444131.48
11-01-2022,08.Insurance,72.83,73.92,70.74,71.43,503124.98
12-01-2022,08.Insurance,71.93,72.98,69.85,70.54,321294.15
13-01-2022,08.Insurance,71.07,72.4,69.65,70.9,253758.56
16-01-2022,08.Insurance,70.89,72.3,68.98,69.94,335673.23
17-01-2022,08.Insurance,70.74,73.37,69.78,71.63,455886.92
18-01-2022,08.Insurance,72.45,73.38,70.62,71.54,423760.55
19-01-2022,08.Insurance,71.65,72.88,70.06,70.81,317618.47
20-01-2022,08.Insurance,71.67,72.34,69.87,70.49,267784
23-01-2022,08.Insurance,71.37,72.78,70.39,71.4,342039.19
24-01-2022,08.Insurance,72.07,72.86,70.09,70.54,269179.72
25-01-2022,08.Insurance,70.98,71.9,69.59,70.15,224532.51
26-01-2022,08.Insurance,70.74,71.5,69.21,69.92,236886.4
27-01-2022,08.Insurance,70.78,71.93,69.42,70.32,302959
30-01-2022,08.Insurance,70.57,71.95,69.44,70.55,294060.36
31-01-2022,08.Insurance,70.94,71.68,69.37,69.95,257275.11
02-01-2022,09.IT_Sector,50.71,51.97,50.02,51.39,280987.09
03-01-2022,09.IT_Sector,51.45,52.69,50.6,51.55,521358.09
04-01-2022,09.IT_Sector,51.66,53.11,50.44,52.24,671190.91
05-01-2022,09.IT_Sector,52.57,53.5,51.38,52.58,664558
06-01-2022,09.IT_Sector,52.62,53.62,51.52,52.35,594553.91
09-01-2022,09.IT_Sector,51.95,53.09,50.87,51.45,424026.45
10-01-2022,09.IT_Sector,51.39,52.82,50.83,51.95,374926.18
11-01-2022,09.IT_Sector,52.36,53.43,51.49,52.12,447881.55
12-01-2022,09.IT_Sector,52.44,53.73,50.73,51.59,598318.18
13-01-2022,09.IT_Sector,51.72,52.38,50.76,51.15,295298.82
16-01-2022,09.IT_Sector,51.52,52.83,50.28,51.34,854818.18
17-01-2022,09.IT_Sector,52.21,52.48,50.65,51.15,547940.27
18-01-2022,09.IT_Sector,51.45,51.88,50.35,50.81,796419.91
19-01-2022,09.IT_Sector,50.98,51.66,50.06,50.68,648112.45
20-01-2022,09.IT_Sector,50.86,51.44,49.75,50.25,519587.18
23-01-2022,09.IT_Sector,50.28,51.59,49.45,50.5,792624.27
24-01-2022,09.IT_Sector,50.53,51.36,49.24,49.79,558373.45
25-01-2022,09.IT_Sector,49.93,50.81,49,49.63,363288
26-01-2022,09.IT_Sector,50.5,51.45,49.24,50.12,1200542.73
27-01-2022,09.IT_Sector,50.54,51.29,49.23,49.68,693485.55
30-01-2022,09.IT_Sector,49.75,50.7,48.46,49.64,1025144.82
31-01-2022,09.IT_Sector,49.93,51.05,48.46,49.75,1195276.55
02-01-2022,10.Jute,290.2,292.03,283.7,284.43,6978
03-01-2022,10.Jute,283.47,289.77,281.73,284.3,9379
04-01-2022,10.Jute,283.67,289.1,281.5,283.5,6957
05-01-2022,10.Jute,283.23,287.07,281.2,281.87,10923
06-01-2022,10.Jute,284.7,286.73,276.47,278.63,10868.67
09-01-2022,10.Jute,286,287.97,277.17,281.17,6029.67
10-01-2022,10.Jute,360.55,364.85,356.55,358.1,10717.5
11-01-2022,10.Jute,278.63,284.3,275.7,279.07,8562.67
12-01-2022,10.Jute,278.57,282.07,274.27,276.43,14658
13-01-2022,10.Jute,278.47,289.83,275.5,283.9,10278
16-01-2022,10.Jute,289.53,299.23,288.07,293.53,17636
17-01-2022,10.Jute,296.93,297.63,284.03,285.1,8053
18-01-2022,10.Jute,290.67,292.37,282.27,287.63,11087
19-01-2022,10.Jute,290.83,293.3,284.57,287.67,10471.67
20-01-2022,10.Jute,287.27,290.83,281.8,284.83,7991.67
23-01-2022,10.Jute,283.17,286.9,278.5,279.63,10219.67
24-01-2022,10.Jute,278,284.23,276.7,280.8,7659.33
25-01-2022,10.Jute,282.93,289.63,277.8,284,11932
26-01-2022,10.Jute,284.73,287.27,278.87,280.77,6122.33
27-01-2022,10.Jute,283.23,284.97,275.07,276.5,10981.67
30-01-2022,10.Jute,279.1,279.53,274.63,275.57,5485
31-01-2022,10.Jute,277.97,281.93,275.07,276.67,4064.33
02-01-2022,11.Miscellaneous,214.78,218.19,212.64,215.41,1090760.21
03-01-2022,11.Miscellaneous,215.39,218.71,213.69,215.32,1784872.5
04-01-2022,11.Miscellaneous,215.76,218.49,213.67,215.29,1389670.79
05-01-2022,11.Miscellaneous,217.49,219.32,214.47,216.04,1426740.29
06-01-2022,11.Miscellaneous,216.79,218.93,215.42,216.52,1436218.43
09-01-2022,11.Miscellaneous,217.89,219.86,214.95,216.04,1423569.64
10-01-2022,11.Miscellaneous,215.93,219.49,214.39,216.66,1225270.29
11-01-2022,11.Miscellaneous,218.05,222.54,215.45,218.55,1187470.36
12-01-2022,11.Miscellaneous,220.73,221.98,215.88,217.66,1298662.21
13-01-2022,11.Miscellaneous,218.39,221.94,216.43,220.83,906613.43
16-01-2022,11.Miscellaneous,229.35,231.98,225.42,228.05,737221.85
17-01-2022,11.Miscellaneous,222.46,225.09,218.87,221.82,1320411.71
18-01-2022,11.Miscellaneous,221.08,225.71,217.86,222.08,1217340.79
19-01-2022,11.Miscellaneous,223.21,225.29,220.69,223.18,1539032.14
20-01-2022,11.Miscellaneous,224.64,226.9,220.38,223.51,1863893.5
23-01-2022,11.Miscellaneous,224.01,226.76,221.17,223.91,1244068.71
24-01-2022,11.Miscellaneous,225.28,228.72,221.55,224.73,1316907.71
25-01-2022,11.Miscellaneous,225.6,227.77,222.52,223.81,803917.93
26-01-2022,11.Miscellaneous,223.74,224.89,218.49,220.74,905575.5
27-01-2022,11.Miscellaneous,220.52,223.22,218.05,220.12,861755.86
30-01-2022,11.Miscellaneous,223.11,225.22,218.55,220.85,1209978.14
31-01-2022,11.Miscellaneous,222.04,223.66,217.44,220.01,934690.43
02-01-2022,12.Mutual_Funds,8.63,8.71,8.53,8.63,117370.39
03-01-2022,12.Mutual_Funds,8.68,9.02,8.6,8.89,392592.75
04-01-2022,12.Mutual_Funds,8.93,9.01,8.72,8.83,287869.92
05-01-2022,12.Mutual_Funds,8.82,8.89,8.67,8.74,304834.81
06-01-2022,12.Mutual_Funds,8.8,8.92,8.69,8.77,283123.58
09-01-2022,12.Mutual_Funds,8.82,8.89,8.67,8.74,284933.56
10-01-2022,12.Mutual_Funds,8.74,8.83,8.61,8.69,267922.92
11-01-2022,12.Mutual_Funds,8.73,9.02,8.65,8.92,800975.42
12-01-2022,12.Mutual_Funds,8.96,9.09,8.77,8.85,444526.75
13-01-2022,12.Mutual_Funds,8.86,8.96,8.73,8.81,256132.06
16-01-2022,12.Mutual_Funds,8.83,8.91,8.68,8.73,300007.72
17-01-2022,12.Mutual_Funds,8.78,8.85,8.68,8.73,185029.78
18-01-2022,12.Mutual_Funds,8.73,8.85,8.64,8.72,276147
19-01-2022,12.Mutual_Funds,8.76,8.84,8.61,8.7,308199.78
20-01-2022,12.Mutual_Funds,8.74,8.85,8.65,8.75,302696.17
23-01-2022,12.Mutual_Funds,8.74,8.81,8.63,8.68,184677.72
24-01-2022,12.Mutual_Funds,8.71,8.77,8.58,8.65,189283.81
25-01-2022,12.Mutual_Funds,8.69,8.76,8.58,8.67,196018.25
26-01-2022,12.Mutual_Funds,8.68,8.76,8.59,8.65,206567.33
27-01-2022,12.Mutual_Funds,8.68,8.74,8.58,8.63,207233.89
30-01-2022,12.Mutual_Funds,8.64,8.74,8.55,8.63,246609.94
31-01-2022,12.Mutual_Funds,8.61,8.68,8.47,8.54,271335.11
02-01-2022,13.Paper_&_Printing,244.25,250.57,231.72,234.78,138394.67
03-01-2022,13.Paper_&_Printing,228.37,229.42,221.98,222.55,114387.67
04-01-2022,13.Paper_&_Printing,212.85,230.4,212.05,227.18,139920.17
05-01-2022,13.Paper_&_Printing,229.27,231.98,217.27,221.72,164166.83
06-01-2022,13.Paper_&_Printing,220.7,221.72,210.45,214.17,280768.83
09-01-2022,13.Paper_&_Printing,219.13,225.82,209.6,214.6,508777.83
10-01-2022,13.Paper_&_Printing,216.45,220.23,208.5,210.73,909968.33
11-01-2022,13.Paper_&_Printing,211.82,219.73,203.4,215.22,603847
12-01-2022,13.Paper_&_Printing,217.33,220.22,210.63,212.28,925954
13-01-2022,13.Paper_&_Printing,214.88,215.68,207.97,210.63,376197
16-01-2022,13.Paper_&_Printing,214.82,220.82,211.5,214.87,522019.17
17-01-2022,13.Paper_&_Printing,217.4,219.53,212.08,213.8,413215.83
18-01-2022,13.Paper_&_Printing,214.92,220.4,211.9,214.7,378753.33
19-01-2022,13.Paper_&_Printing,217.3,218.97,209.77,212.85,390036.5
20-01-2022,13.Paper_&_Printing,216.92,225.67,214.63,220.02,338953
23-01-2022,13.Paper_&_Printing,222.58,231.67,219.3,225.25,386115.17
24-01-2022,13.Paper_&_Printing,228.48,233.87,221.67,228.6,236227.17
25-01-2022,13.Paper_&_Printing,230.3,233.08,222.85,225.4,453481.5
26-01-2022,13.Paper_&_Printing,226.9,227.78,216.8,218.18,211460.33
27-01-2022,13.Paper_&_Printing,222.38,223.85,211.92,214.02,340171.33
30-01-2022,13.Paper_&_Printing,215.45,218.93,207.18,215.83,219574.33
31-01-2022,13.Paper_&_Printing,217.95,218.73,208.45,210.8,249864.33
02-01-2022,14.Pharmaceuticals_&_Chemicals,464.22,471.02,460.36,464.37,359529.55
03-01-2022,14.Pharmaceuticals_&_Chemicals,465.42,468.41,455.58,457.87,613815.16
04-01-2022,14.Pharmaceuticals_&_Chemicals,458.64,463.26,452.45,458.36,891716.61
05-01-2022,14.Pharmaceuticals_&_Chemicals,458.7,465.64,454.83,460.38,921967.87
06-01-2022,14.Pharmaceuticals_&_Chemicals,458.83,462.21,454.16,456.29,862104.35
09-01-2022,14.Pharmaceuticals_&_Chemicals,458.07,463.01,454.97,459.42,685377.03
10-01-2022,14.Pharmaceuticals_&_Chemicals,460.93,464.67,455.21,460.34,714817.84
11-01-2022,14.Pharmaceuticals_&_Chemicals,463.47,471.08,457.6,459.66,1072908.71
12-01-2022,14.Pharmaceuticals_&_Chemicals,460.65,466.65,457.18,459.18,702566.1
13-01-2022,14.Pharmaceuticals_&_Chemicals,463.69,469.26,459.46,466.11,499247.84
16-01-2022,14.Pharmaceuticals_&_Chemicals,468.31,478.55,466.33,473.26,630366.29
17-01-2022,14.Pharmaceuticals_&_Chemicals,477.69,482.51,468.39,474.26,737710.26
18-01-2022,14.Pharmaceuticals_&_Chemicals,475.84,483.13,470.59,478.77,916134.16
19-01-2022,14.Pharmaceuticals_&_Chemicals,479.24,487.33,476.41,482.05,887017.71
20-01-2022,14.Pharmaceuticals_&_Chemicals,484.01,488.14,477.46,482.49,1354455.03
23-01-2022,14.Pharmaceuticals_&_Chemicals,482.23,490.76,477.53,482.54,920520.74
24-01-2022,14.Pharmaceuticals_&_Chemicals,485.12,492.78,477.45,486.18,786766.9
25-01-2022,14.Pharmaceuticals_&_Chemicals,489.81,494.91,483.97,487.14,672575.06
26-01-2022,14.Pharmaceuticals_&_Chemicals,486.32,489.34,479.7,482.86,517445.61
27-01-2022,14.Pharmaceuticals_&_Chemicals,483.23,484.97,475.78,479.05,595853.61
30-01-2022,14.Pharmaceuticals_&_Chemicals,479.41,484.29,474.82,480.2,590949.1
31-01-2022,14.Pharmaceuticals_&_Chemicals,485.67,488.56,475.74,478.38,535072.65
02-01-2022,15.Services_&_Real_Estate,50.53,52.25,50.43,51.55,684693.25
03-01-2022,15.Services_&_Real_Estate,51.75,53.45,51.18,52.15,1329169.25
04-01-2022,15.Services_&_Real_Estate,52.5,53.13,51.45,52.58,1040979.75
05-01-2022,15.Services_&_Real_Estate,52.6,54.48,52.38,53.13,2621104.25
06-01-2022,15.Services_&_Real_Estate,53.15,54.28,52.5,53.55,1280445.75
09-01-2022,15.Services_&_Real_Estate,53.8,54.45,51.83,52.28,1705327.75
10-01-2022,15.Services_&_Real_Estate,52.45,55.13,51.8,54.4,1966614.25
11-01-2022,15.Services_&_Real_Estate,54.83,56.75,53.1,54.65,2880320.5
12-01-2022,15.Services_&_Real_Estate,54.85,55.13,53.33,53.6,1636533.75
13-01-2022,15.Services_&_Real_Estate,53.5,55.23,53.08,54.38,1056818
16-01-2022,15.Services_&_Real_Estate,55.33,58.53,54.98,57.6,1955937.25
17-01-2022,15.Services_&_Real_Estate,60.18,61.83,59.28,61.15,6056375.75
18-01-2022,15.Services_&_Real_Estate,63.03,66.15,59.05,64.75,5141492.75
19-01-2022,15.Services_&_Real_Estate,64.3,65.85,61.98,63.3,3928104.25
20-01-2022,15.Services_&_Real_Estate,63.53,65.55,61.6,62.25,2718004.5
23-01-2022,15.Services_&_Real_Estate,62.3,64.3,60.6,62.05,2247952.25
24-01-2022,15.Services_&_Real_Estate,62.8,63.65,60.18,62.25,1216782.25
25-01-2022,15.Services_&_Real_Estate,62.9,64.5,61.18,62.15,955380.5
26-01-2022,15.Services_&_Real_Estate,62.5,63.68,59.78,61.33,1297260.5
27-01-2022,15.Services_&_Real_Estate,61.43,63.23,59.3,60.43,1791175.75
30-01-2022,15.Services_&_Real_Estate,58.8,59.98,57.6,58.38,2760930.25
31-01-2022,15.Services_&_Real_Estate,57.9,59.33,56.38,56.88,1838880.75
02-01-2022,16.Tannery_Industries,264.37,269.78,260.82,264.93,813033.17
03-01-2022,16.Tannery_Industries,266.3,268.53,260.93,262.4,1096787.67
04-01-2022,16.Tannery_Industries,263.58,264.67,258.53,260.33,771850.5
05-01-2022,16.Tannery_Industries,260.93,262.77,258.23,259.93,1029435
06-01-2022,16.Tannery_Industries,260,263.3,258.13,260.33,638977.33
09-01-2022,16.Tannery_Industries,261.53,264.78,259.6,261.62,636386.67
10-01-2022,16.Tannery_Industries,262.25,263.48,259.6,261.13,733068.83
11-01-2022,16.Tannery_Industries,264.87,267.53,260.22,261.57,574092.17
12-01-2022,16.Tannery_Industries,261.48,265.18,260.82,262.8,1432924.33
13-01-2022,16.Tannery_Industries,265.05,270.33,262.05,267.72,573639.17
16-01-2022,16.Tannery_Industries,273.3,281.37,268.67,272.77,1059922.17
17-01-2022,16.Tannery_Industries,273.15,274.55,266.9,269.65,573111.33
18-01-2022,16.Tannery_Industries,269.1,273.95,267.18,271.15,601600.33
19-01-2022,16.Tannery_Industries,272.03,279.42,270.93,274.83,2287087.67
20-01-2022,16.Tannery_Industries,274.48,277.88,270.33,275.35,618144.5
23-01-2022,16.Tannery_Industries,275.88,285.3,273.15,282.25,677184.5
24-01-2022,16.Tannery_Industries,289.18,295.55,284.18,291.6,411983.17
25-01-2022,16.Tannery_Industries,294.08,295.35,283.67,288.57,606832.33
26-01-2022,16.Tannery_Industries,284.97,288.55,280.42,281.32,252471.5
27-01-2022,16.Tannery_Industries,279.13,282.75,273.18,277.9,393563
30-01-2022,16.Tannery_Industries,309.64,310.42,299.94,303.1,71200.2
31-01-2022,16.Tannery_Industries,272.35,279.73,268.85,271.08,261169.5
02-01-2022,17.Telecommunication,198.13,199.43,195.87,197.77,502226
03-01-2022,17.Telecommunication,198.37,199.4,194.97,195.77,636244
04-01-2022,17.Telecommunication,195.73,198.2,194.63,196.6,361714.33
05-01-2022,17.Telecommunication,197.6,200.33,195.57,198.43,1284562
06-01-2022,17.Telecommunication,198.7,206.27,197.73,204.67,1839647.33
09-01-2022,17.Telecommunication,206.33,208.73,202.87,204.5,1247908.33
10-01-2022,17.Telecommunication,204.83,211.5,203.1,210.67,1201629.67
11-01-2022,17.Telecommunication,212.1,216.8,207.63,209.73,1515431.67
12-01-2022,17.Telecommunication,209.87,213.37,204.67,207.2,4952772.33
13-01-2022,17.Telecommunication,207.23,212.7,206.53,210.67,964272.67
16-01-2022,17.Telecommunication,211.53,212,207.53,208.23,1924037
17-01-2022,17.Telecommunication,209.73,210.37,206.03,207.53,1420468.67
18-01-2022,17.Telecommunication,208.1,211.1,206.63,207.77,1242927
